top_depth,base_depth,thickness_ft,angle_deg,gr_mean,gr_std,shape,symmetrical,serrated,WELL
2305.5,2544.0,238.5,50.05475091489808,45.97396882845188,18.29959689208522,FUNNEL,True,False,SRN-9
2544.0,2963.5,419.5,-48.44069845673264,30.960525238095236,15.726849917847689,BELL,True,False,SRN-9
2963.5,3331.0,367.5,52.26339319709896,59.60034252717391,16.345812442595317,FUNNEL,True,False,SRN-9
3331.0,3439.0,108.0,-63.07191365730731,34.37307281105991,19.81623410507276,BELL,True,True,SRN-9
3439.0,3552.5,113.5,57.610336316893274,56.812898245614036,20.1553436889618,FUNNEL,True,True,SRN-9
3552.5,3847.0,294.5,-39.922842586187905,33.782845084745766,18.872090281702953,BELL,True,True,SRN-9
3847.0,4018.5,171.5,54.16420945983906,62.814547383720935,17.67308082116711,FUNNEL,True,False,SRN-9
4018.5,4139.0,120.5,-53.53517362483646,37.60201198347108,19.09238338773981,BELL,True,True,SRN-9
4139.0,4224.5,85.5,53.13942640492448,47.28121860465116,22.70892727371828,FUNNEL,True,True,SRN-9
4224.5,4355.5,131.0,-70.434485544065,23.250804182509505,8.20287208429775,BELL,True,True,SRN-9
4355.5,4485.5,130.0,63.108389474304616,62.43615057471264,21.861621246534856,FUNNEL,True,True,SRN-9
4485.5,4729.5,244.0,-36.539250907721026,46.760231492842536,16.105644077408694,BELL,True,True,SRN-9
4729.5,5067.0,337.5,45.40179985917363,68.37532795857987,8.368452852857887,FUNNEL,True,False,SRN-9
5067.0,5150.5,83.5,-55.096942784875345,52.14034345238096,10.32438037360527,BELL,True,False,SRN-9
5150.5,5263.5,113.0,21.356846762324203,58.49812731277533,8.884182891273548,CYLINDRICAL,False,False,SRN-9
5263.5,5368.0,104.5,66.03820151795414,64.62014191919192,13.211940841641729,FUNNEL,True,False,SRN-9
5368.0,5594.5,226.5,-64.09438030990036,37.86756321585902,20.562258209730928,BELL,True,False,SRN-9
5594.5,5683.5,89.0,33.27060506334441,55.951844134078215,21.90565780928128,FUNNEL,True,False,SRN-9
5683.5,5803.5,120.0,-24.49241220964172,53.79378713692946,16.543994936114526,CYLINDRICAL,False,False,SRN-9
5803.5,5905.5,102.0,57.492524399314,71.95750195121951,17.988049484775384,FUNNEL,True,True,SRN-9
5905.5,6002.5,97.0,-51.87102300770414,59.748493333333336,19.75250988851554,BELL,True,True,SRN-9
6002.5,6136.5,134.0,49.191142665978546,71.10160855018587,15.945776524920792,FUNNEL,True,True,SRN-9
6136.5,6189.5,53.0,-60.57691142976784,71.53847663551402,16.964920841848976,BELL,True,True,SRN-9
6189.5,6392.0,202.5,43.1525007187858,71.71101650246305,17.312037571516093,FUNNEL,True,True,SRN-9
6392.0,6479.5,87.5,-58.63402519606864,66.07759659090908,22.369853489967298,BELL,True,False,SRN-9
6479.5,6690.0,210.5,46.240373693778494,75.954377014218,15.337487945737935,FUNNEL,True,False,SRN-9
6690.0,6797.0,107.0,-65.89891160856845,57.249733488372094,26.26906994821263,BELL,True,False,SRN-9
6797.0,6971.0,174.0,38.91987848967725,73.53921489971349,16.460282397465274,FUNNEL,True,False,SRN-9
6971.0,7135.5,164.5,-49.02814301344708,61.36614454545455,16.740630053433616,BELL,True,False,SRN-9
7135.5,7345.5,210.0,32.43722896294211,76.31888218527315,14.446233714975241,FUNNEL,True,False,SRN-9
7345.5,7443.5,98.0,-30.448421391470276,63.31135989847716,21.39113702317219,CYLINDRICAL,False,False,SRN-9
7443.5,7520.5,77.0,36.179237138238314,74.45071419354838,12.012820882763005,FUNNEL,True,False,SRN-9
7520.5,7697.5,177.0,-57.200855957727036,57.737995774647885,26.019709916896595,BELL,True,False,SRN-9
7697.5,8225.0,527.5,43.92951870909881,83.56421998106062,13.239550730959133,FUNNEL,True,False,SRN-9
8225.0,8482.5,257.5,-62.08191939579423,52.47424515503876,24.65704842459427,BELL,True,False,SRN-9
8482.5,8962.0,479.5,30.953097940845126,79.56550815677967,18.036512455045862,CYLINDRICAL,False,False,SRN-9
8962.0,9062.5,100.5,13.570348782354191,73.4425400990099,20.20537641066749,CYLINDRICAL,False,False,SRN-9
9062.5,9107.0,44.5,-31.90614236002569,70.97124444444445,24.917282625729257,CYLINDRICAL,False,False,SRN-9
